Site,Bottle,datetime,Deployment,ID,EC_uScm,pH,Turbidity_ntu,TP_mgL,TDP_mgL,PO4P_mgL,TN_mgL,TDN_mgL,DON_mgL,NH4N_mgL,NO3N_mgL,DOC_mgL,TSS_mgL,VSS_mgL,ID2,datetime_DLS,Yr
FM,14,2017-07-26T21:03:00Z,4,CMP 409,4.02,7.95,92.1,0.435,0.162,0.121,1.01,0.72,0.61,0,0.11,10.4,92.3,13.2,409,2017-07-26T21:00:00Z,2017
FM,15,2017-07-26T22:03:00Z,4,CMP 410,3.83,8.06,138,0.673,0.245,0.179,1.3,0.99,0.77,0,0.21,11.9,136,19.1,410,2017-07-26T22:00:00Z,2017
FM,16,2017-07-26T23:03:00Z,4,CMP 411,3.85,8.11,62,0.527,0.348,0.314,1.22,0.94,0.75,0,0.18,12.1,55,9.6,411,2017-07-26T23:00:00Z,2017
FM,17,2017-07-27T00:03:00Z,4,CMP 412,3.79,8.06,92.1,0.647,0.389,0.316,1.33,0.95,0.71,0.01,0.23,11.8,88.5,13.7,412,2017-07-27T00:00:00Z,2017
FM,18,2017-07-27T01:03:00Z,4,CMP 413,3.74,8.07,63,0.592,0.407,0.37,1.27,0.93,0.68,0,0.25,11.8,53,11.1,413,2017-07-27T01:00:00Z,2017
FM,19,2017-07-27T02:03:00Z,4,CMP 414,3.89,8.11,60.9,0.564,0.389,0.354,1.31,1.03,0.8,0,0.23,11.1,55.2,9.8,414,2017-07-27T02:00:00Z,2017
FM,20,2017-07-27T03:03:00Z,4,CMP 415,4.05,8.13,73.2,0.574,0.401,0.351,1.33,1.01,0.74,0.01,0.26,10.6,69.2,10.1,415,2017-07-27T03:00:00Z,2017
FM,21,2017-07-27T04:03:00Z,4,CMP 416,4.06,8.13,62.1,0.564,0.395,0.373,1.42,0.99,0.72,0.02,0.25,10.3,57,8,416,2017-07-27T04:00:00Z,2017
FM,22,2017-07-27T05:03:00Z,4,CMP 417,4.11,8.2,65.1,0.546,0.358,0.351,1.26,0.95,0.71,0,0.24,10.3,60,8.9,417,2017-07-27T05:00:00Z,2017
FM,23,2017-07-27T06:03:00Z,4,CMP 418,4.94,7.99,59.6,0.389,0.21,0.201,1.18,0.72,0.55,0.01,0.16,7.6,58.3,7.2,418,2017-07-27T06:00:00Z,2017
FM,24,2017-07-27T07:03:00Z,4,CMP 419,4.64,7.88,71.3,0.306,0.14,0.135,0.67,0.61,0.51,0.01,0.1,8.3,61.2,8.2,419,2017-07-27T07:00:00Z,2017
FM,1,2017-08-23T13:50:00Z,5,CMP 540,6.92,8.3,61.2,0.64,0.445,0.422,1.98,1.77,0.66,0.01,1.1,12.1,56,7.3,540,2017-08-23T13:45:00Z,2017
FM,2,2017-08-23T14:50:00Z,5,CMP 541,7.41,8.13,164,0.714,0.255,0.233,1.71,1.3,0.7,0,0.6,10.1,130.5,15.8,541,2017-08-23T14:45:00Z,2017
FM,3,2017-08-23T15:50:00Z,5,CMP 542,7.81,8.12,86.4,0.335,0.089,0.08,1.12,0.79,0.61,0,0.18,8,81.3,9.6,542,2017-08-23T15:45:00Z,2017
FM,4,2017-08-23T16:50:00Z,5,CMP 543,7.67,8.05,57,0.253,0.144,0.134,1.24,1.02,0.69,0,0.33,9.2,53.3,7,543,2017-08-23T16:45:00Z,2017
FM,5,2017-08-23T17:50:00Z,5,CMP 544,7.78,8.03,49.7,0.198,0.12,0.09,1.14,0.86,0.62,0,0.24,8,43.2,5.5,544,2017-08-23T17:45:00Z,2017
FM,6,2017-08-23T18:50:00Z,5,CMP 545,7.5,8.06,52,0.229,0.147,0.115,1.21,0.96,0.65,0,0.31,8.6,43.1,7,545,2017-08-23T18:45:00Z,2017
FM,7,2017-08-23T19:50:00Z,5,CMP 546,7.3,8.19,49.1,0.484,0.316,0.283,1.63,1.39,0.65,0,0.74,10.3,37.1,6.1,546,2017-08-23T19:45:00Z,2017
FM,8,2017-08-23T20:50:00Z,5,CMP 547,6.93,8.28,40.4,0.561,0.433,0.415,1.9,1.7,0.55,0,1.14,10.6,36,5.3,547,2017-08-23T20:45:00Z,2017
FM,9,2017-08-23T21:50:00Z,5,CMP 548,6.87,8.32,36.5,0.548,0.482,0.426,1.87,1.73,0.62,0,1.12,11.3,33,5,548,2017-08-23T21:45:00Z,2017
FM,10,2017-08-23T22:50:00Z,5,CMP 549,6.94,8.23,103.6,0.733,0.427,0.402,1.99,1.63,0.54,0,1.09,11.1,101,12.5,549,2017-08-23T22:45:00Z,2017
